"","tiplabel","sciName","BM","Lat_centroid","Assembly.Level","Assembly.Stats.Contig.N50","Assembly.Stats.Scaffold.N50","Assembly.Submission.Date","zoo_Source","Species_Name","gen","fam","ord","clade","higher","MSW3_sciName_matched","genes","extinct.","samp","PC"
"11","Abrocoma_uspallata_ABROCOMIDAE_RODENTIA","Abrocoma_uspallata",0.2458,-32.68062256,NA,NA,NA,NA,NA,"Abrocoma_uspallata","Abrocoma","ABROCOMIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Abrocoma_uspallata",0,0,"imputed","PC14_GuineaPigRelated"
"12","Abrocoma_vaccarum_ABROCOMIDAE_RODENTIA","Abrocoma_vaccarum",0.2543,-32.7564395,NA,NA,NA,NA,NA,"Abrocoma_vaccarum","Abrocoma","ABROCOMIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Abrocoma_vaccarum",0,0,"imputed","PC14_GuineaPigRelated"
"13","Abrothrix_andinus_CRICETIDAE_RODENTIA","Abrothrix_andinus",0.018,-22.16249724,NA,NA,NA,NA,NA,"Abrothrix_andinus","Abrothrix","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Abrothrix_andinus",6,0,"sampled","PC12_Cricetidae"
"14","Abrothrix_hershkovitzi_CRICETIDAE_RODENTIA","Abrothrix_hershkovitzi",0.0349,NA,NA,NA,NA,NA,NA,"Abrothrix_hershkovitzi","Abrothrix","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Abrothrix_hershkovitzi",1,0,"sampled","PC12_Cricetidae"
"15","Abrothrix_illuteus_CRICETIDAE_RODENTIA","Abrothrix_illuteus",0.0478,-25.61891417,NA,NA,NA,NA,NA,"Abrothrix_illuteus","Abrothrix","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Abrothrix_illuteus",2,0,"sampled","PC12_Cricetidae"
"16","Abrothrix_jelskii_CRICETIDAE_RODENTIA","Abrothrix_jelskii",0.0345,-16.44076591,NA,NA,NA,NA,NA,"Abrothrix_jelskii","Abrothrix","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Abrothrix_jelskii",6,0,"sampled","PC12_Cricetidae"
"17","Abrothrix_lanosus_CRICETIDAE_RODENTIA","Abrothrix_lanosus",0.0325,-52.97866975,NA,NA,NA,NA,NA,"Abrothrix_lanosus","Abrothrix","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Abrothrix_lanosus",2,0,"sampled","PC12_Cricetidae"
"18","Abrothrix_longipilis_CRICETIDAE_RODENTIA","Abrothrix_longipilis",0.0376,-43.00707198,NA,NA,NA,NA,NA,"Abrothrix_longipilis","Abrothrix","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Abrothrix_longipilis",5,0,"sampled","PC12_Cricetidae"
"19","Abrothrix_manni_CRICETIDAE_RODENTIA","Abrothrix_manni",0.035355963,NA,NA,NA,NA,NA,NA,"Abrothrix_manni","Abrothrix","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires",NA,0,0,"imputed","PC12_Cricetidae"
"20","Abrothrix_markhami_CRICETIDAE_RODENTIA","Abrothrix_markhami",0.038,NA,NA,NA,NA,NA,NA,"Abrothrix_markhami","Abrothrix","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Abrothrix_markhami",1,0,"sampled","PC12_Cricetidae"
"21","Abrothrix_olivaceus_CRICETIDAE_RODENTIA","Abrothrix_olivaceus",0.039,-42.31307223,NA,NA,NA,NA,NA,"Abrothrix_olivaceus","Abrothrix","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Abrothrix_olivaceus",5,0,"sampled","PC12_Cricetidae"
"22","Abrothrix_sanborni_CRICETIDAE_RODENTIA","Abrothrix_sanborni",0.0247,-41.99220767,NA,NA,NA,NA,NA,"Abrothrix_sanborni","Abrothrix","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Abrothrix_sanborni",2,0,"sampled","PC12_Cricetidae"
"23","Acerodon_celebensis_PTEROPODIDAE_CHIROPTERA","Acerodon_celebensis",0.39,-2.074558642,NA,NA,NA,NA,NA,"Acerodon_celebensis","Acerodon","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Acerodon_celebensis",5,0,"sampled","PC19_Yinpterochiroptera"
"24","Acerodon_humilis_PTEROPODIDAE_CHIROPTERA","Acerodon_humilis",0.5996,4.251267475,NA,NA,NA,NA,NA,"Acerodon_humilis","Acerodon","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Acerodon_humilis",0,0,"imputed","PC19_Yinpterochiroptera"
"25","Acerodon_jubatus_PTEROPODIDAE_CHIROPTERA","Acerodon_jubatus",1.075,11.45728407,NA,NA,NA,NA,NA,"Acerodon_jubatus","Acerodon","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Acerodon_jubatus",1,0,"sampled","PC19_Yinpterochiroptera"
"26","Acerodon_leucotis_PTEROPODIDAE_CHIROPTERA","Acerodon_leucotis",0.5132,9.867432752,NA,NA,NA,NA,NA,"Acerodon_leucotis","Acerodon","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Acerodon_leucotis",0,0,"imputed","PC19_Yinpterochiroptera"
"27","Acerodon_mackloti_PTEROPODIDAE_CHIROPTERA","Acerodon_mackloti",0.4703,-9.012068121,NA,NA,NA,NA,NA,"Acerodon_mackloti","Acerodon","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Acerodon_mackloti",0,0,"imputed","PC19_Yinpterochiroptera"
"28","Acinonyx_jubatus_FELIDAE_CARNIVORA","Acinonyx_jubatus",46.7,3.172881984,"Scaffold",35120,3122036,"2015-11-13","2. Existing assembly in 241-way","Acinonyx_jubatus","Acinonyx","FELIDAE","CARNIVORA","Feliformes","Laurasiatheria","Acinonyx_jubatus",7,0,"sampled","PC22_Carnivora"
"29","Acomys_airensis_MURIDAE_RODENTIA","Acomys_airensis",0.0483,18.4538816,NA,NA,NA,NA,NA,"Acomys_airensis","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_airensis",0,0,"imputed","PC11_Muridae"
"30","Acomys_cahirinus_MURIDAE_RODENTIA","Acomys_cahirinus",0.0525,24.59122469,"Scaffold",42476,65411,"2019-01-16","1. Zoonomia","Acomys_cahirinus","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_cahirinus",9,0,"sampled","PC11_Muridae"
"31","Acomys_cilicicus_MURIDAE_RODENTIA","Acomys_cilicicus",0.0425,36.43848423,NA,NA,NA,NA,NA,"Acomys_cilicicus","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_cilicicus",1,0,"sampled","PC11_Muridae"
"32","Acomys_cineraceus_MURIDAE_RODENTIA","Acomys_cineraceus",0.0203,10.30473116,NA,NA,NA,NA,NA,"Acomys_cineraceus","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_cineraceus",0,0,"imputed","PC11_Muridae"
"33","Acomys_dimidiatus_MURIDAE_RODENTIA","Acomys_dimidiatus",0.0375,22.54414839,"Chromosome",33040,124365287,"2021-07-06",NA,"Acomys_dimidiatus","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_dimidiatus",1,0,"sampled","PC11_Muridae"
"34","Acomys_ignitus_MURIDAE_RODENTIA","Acomys_ignitus",0.024,-2.697570789,NA,NA,NA,NA,NA,"Acomys_ignitus","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_ignitus",6,0,"sampled","PC11_Muridae"
"35","Acomys_johannis_MURIDAE_RODENTIA","Acomys_johannis",0.0185,12.01428913,NA,NA,NA,NA,NA,"Acomys_johannis","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_johannis",1,0,"sampled","PC11_Muridae"
"36","Acomys_kempi_MURIDAE_RODENTIA","Acomys_kempi",0.022,1.326465647,"Chromosome",33625,125230826,"2021-07-06",NA,"Acomys_kempi","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_kempi",0,0,"imputed","PC11_Muridae"
"37","Acomys_louisae_MURIDAE_RODENTIA","Acomys_louisae",0.0202,6.174156147,NA,NA,NA,NA,NA,"Acomys_louisae","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_louisae",0,0,"imputed","PC11_Muridae"
"38","Acomys_minous_MURIDAE_RODENTIA","Acomys_minous",0.0625,35.23385389,NA,NA,NA,NA,NA,"Acomys_minous","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_minous",1,0,"sampled","PC11_Muridae"
"39","Acomys_mullah_MURIDAE_RODENTIA","Acomys_mullah",0.0284,11.15762292,NA,NA,NA,NA,NA,"Acomys_mullah","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_mullah",0,0,"imputed","PC11_Muridae"
"40","Acomys_muzei_MURIDAE_RODENTIA","Acomys_muzei",0.066704943,NA,NA,NA,NA,NA,NA,"Acomys_muzei","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires",NA,1,0,"sampled","PC11_Muridae"
"41","Acomys_nesiotes_MURIDAE_RODENTIA","Acomys_nesiotes",0.0525,35.04924214,NA,NA,NA,NA,NA,"Acomys_nesiotes","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_nesiotes",1,0,"sampled","PC11_Muridae"
"42","Acomys_ngurui_MURIDAE_RODENTIA","Acomys_ngurui",0.090888375,NA,NA,NA,NA,NA,NA,"Acomys_ngurui","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires",NA,1,0,"sampled","PC11_Muridae"
"43","Acomys_percivali_MURIDAE_RODENTIA","Acomys_percivali",0.022,3.114825457,"Chromosome",26477,126270630,"2021-07-06",NA,"Acomys_percivali","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_percivali",2,0,"sampled","PC11_Muridae"
"44","Acomys_russatus_MURIDAE_RODENTIA","Acomys_russatus",0.0498,22.38934049,"Chromosome",4450755,66475698,"2020-08-21",NA,"Acomys_russatus","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_russatus",7,0,"sampled","PC11_Muridae"
"45","Acomys_seurati_MURIDAE_RODENTIA","Acomys_seurati",0.0712,24.32803802,NA,NA,NA,NA,NA,"Acomys_seurati","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_seurati",0,0,"imputed","PC11_Muridae"
"46","Acomys_spinosissimus_MURIDAE_RODENTIA","Acomys_spinosissimus",0.0265,-15.38832107,NA,NA,NA,NA,NA,"Acomys_spinosissimus","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_spinosissimus",2,0,"sampled","PC11_Muridae"
"47","Acomys_subspinosus_MURIDAE_RODENTIA","Acomys_subspinosus",0.021,-33.49458897,NA,NA,NA,NA,NA,"Acomys_subspinosus","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_subspinosus",0,0,"imputed","PC11_Muridae"
"48","Acomys_wilsoni_MURIDAE_RODENTIA","Acomys_wilsoni",0.0185,0.690848474,NA,NA,NA,NA,NA,"Acomys_wilsoni","Acomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Acomys_wilsoni",2,0,"sampled","PC11_Muridae"
"49","Aconaemys_fuscus_OCTODONTIDAE_RODENTIA","Aconaemys_fuscus",0.1335,-38.00969717,NA,NA,NA,NA,NA,"Aconaemys_fuscus","Aconaemys","OCTODONTIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Aconaemys_fuscus",2,0,"sampled","PC14_GuineaPigRelated"
"50","Aconaemys_porteri_OCTODONTIDAE_RODENTIA","Aconaemys_porteri",0.092,-39.55625231,NA,NA,NA,NA,NA,"Aconaemys_porteri","Aconaemys","OCTODONTIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Aconaemys_porteri",1,0,"sampled","PC14_GuineaPigRelated"
"51","Aconaemys_sagei_OCTODONTIDAE_RODENTIA","Aconaemys_sagei",0.0965,-39.40930511,NA,NA,NA,NA,NA,"Aconaemys_sagei","Aconaemys","OCTODONTIDAE","RODENTIA","Guinea_pig-related","Euarchontoglires","Aconaemys_sagei",2,0,"sampled","PC14_GuineaPigRelated"
"52","Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA","Acrobates_pygmaeus",0.012,-28.52592177,"Contig",1368,NA,"2021-09-24",NA,"Acrobates_pygmaeus","Acrobates","ACROBATIDAE","DIPROTODONTIA","Diprodontia","Marsupialia","Acrobates_pygmaeus",21,0,"sampled","PC1_Marsupials"
"53","Addax_nasomaculatus_BOVIDAE_CETARTIODACTYLA","Addax_nasomaculatus",70.0003,17.41145591,"Scaffold",17026,20757513,"2021-08-13",NA,"Addax_nasomaculatus","Addax","BOVIDAE","CETARTIODACTYLA","Ruminantia","Laurasiatheria","Addax_nasomaculatus",4,0,"sampled","PC20_Cetartiodactyla"
"54","Aegialomys_galapagoensis_CRICETIDAE_RODENTIA","Aegialomys_galapagoensis",0.1155,-0.825321018,NA,NA,NA,NA,NA,"Aegialomys_galapagoensis","Aegialomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires",NA,2,0,"sampled","PC12_Cricetidae"
"55","Aegialomys_xanthaeolus_CRICETIDAE_RODENTIA","Aegialomys_xanthaeolus",0.0798,-7.44461858,NA,NA,NA,NA,NA,"Aegialomys_xanthaeolus","Aegialomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires",NA,4,0,"sampled","PC12_Cricetidae"
"56","Aepeomys_lugens_CRICETIDAE_RODENTIA","Aepeomys_lugens",0.037,8.351624899,NA,NA,NA,NA,NA,"Aepeomys_lugens","Aepeomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Aepeomys_lugens",1,0,"sampled","PC12_Cricetidae"
"57","Aepeomys_reigi_CRICETIDAE_RODENTIA","Aepeomys_reigi",0.0406,9.480997517,NA,NA,NA,NA,NA,"Aepeomys_reigi","Aepeomys","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Aepeomys_reigi",0,0,"imputed","PC12_Cricetidae"
"58","Aepyceros_melampus_BOVIDAE_CETARTIODACTYLA","Aepyceros_melampus",52.5001,-13.31672641,"Scaffold",82459,344542,"2019-06-24",NA,"Aepyceros_melampus","Aepyceros","BOVIDAE","CETARTIODACTYLA","Ruminantia","Laurasiatheria","Aepyceros_melampus",1,0,"sampled","PC20_Cetartiodactyla"
"59","Aepyprymnus_rufescens_POTOROIDAE_DIPROTODONTIA","Aepyprymnus_rufescens",3.25,-24.18851841,"Contig",1163,NA,"2021-09-24",NA,"Aepyprymnus_rufescens","Aepyprymnus","POTOROIDAE","DIPROTODONTIA","Diprodontia","Marsupialia","Aepyprymnus_rufescens",27,0,"sampled","PC1_Marsupials"
"60","Aeretes_melanopterus_SCIURIDAE_RODENTIA","Aeretes_melanopterus",0.7324,32.40379506,NA,NA,NA,NA,NA,"Aeretes_melanopterus","Aeretes","SCIURIDAE","RODENTIA","Squirrel-related","Euarchontoglires","Aeretes_melanopterus",1,0,"sampled","PC13_SquirrelRelated"
"61","Aeromys_tephromelas_SCIURIDAE_RODENTIA","Aeromys_tephromelas",1.075,3.712080451,NA,NA,NA,NA,NA,"Aeromys_tephromelas","Aeromys","SCIURIDAE","RODENTIA","Squirrel-related","Euarchontoglires","Aeromys_tephromelas",1,0,"sampled","PC13_SquirrelRelated"
"62","Aeromys_thomasi_SCIURIDAE_RODENTIA","Aeromys_thomasi",1.435,2.076024046,NA,NA,NA,NA,NA,"Aeromys_thomasi","Aeromys","SCIURIDAE","RODENTIA","Squirrel-related","Euarchontoglires","Aeromys_thomasi",0,0,"imputed","PC13_SquirrelRelated"
"63","Aethalops_aequalis_PTEROPODIDAE_CHIROPTERA","Aethalops_aequalis",0.0116,4.401515251,NA,NA,NA,NA,NA,"Aethalops_aequalis","Aethalops","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Aethalops_aequalis",2,0,"sampled","PC19_Yinpterochiroptera"
"64","Aethalops_alecto_PTEROPODIDAE_CHIROPTERA","Aethalops_alecto",0.015,-0.110035756,NA,NA,NA,NA,NA,"Aethalops_alecto","Aethalops","PTEROPODIDAE","CHIROPTERA","Yinpterochiroptera","Laurasiatheria","Aethalops_alecto",6,0,"sampled","PC19_Yinpterochiroptera"
"65","Aethomys_bocagei_MURIDAE_RODENTIA","Aethomys_bocagei",0.1076,-9.527360116,NA,NA,NA,NA,NA,"Aethomys_bocagei","Aethomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Aethomys_bocagei",0,0,"imputed","PC11_Muridae"
"66","Aethomys_chrysophilus_MURIDAE_RODENTIA","Aethomys_chrysophilus",0.0749,-16.35496023,NA,NA,NA,NA,NA,"Aethomys_chrysophilus","Aethomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Aethomys_chrysophilus",3,0,"sampled","PC11_Muridae"
"67","Aethomys_granti_MURIDAE_RODENTIA","Aethomys_granti",0.04,-32.26213933,NA,NA,NA,NA,NA,"Aethomys_granti","Aethomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires",NA,0,0,"imputed","PC11_Muridae"
"68","Aethomys_hindei_MURIDAE_RODENTIA","Aethomys_hindei",0.1035,4.132763473,NA,NA,NA,NA,NA,"Aethomys_hindei","Aethomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Aethomys_hindei",0,0,"imputed","PC11_Muridae"
"69","Aethomys_ineptus_MURIDAE_RODENTIA","Aethomys_ineptus",0.0749,-26.59990723,NA,NA,NA,NA,NA,"Aethomys_ineptus","Aethomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Aethomys_ineptus",1,0,"sampled","PC11_Muridae"
"70","Aethomys_kaiseri_MURIDAE_RODENTIA","Aethomys_kaiseri",0.09,-7.542098006,NA,NA,NA,NA,NA,"Aethomys_kaiseri","Aethomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Aethomys_kaiseri",1,0,"sampled","PC11_Muridae"
"71","Aethomys_namaquensis_MURIDAE_RODENTIA","Aethomys_namaquensis",0.0506,-24.14501558,NA,NA,NA,NA,NA,"Aethomys_namaquensis","Aethomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires",NA,4,0,"sampled","PC11_Muridae"
"72","Aethomys_nyikae_MURIDAE_RODENTIA","Aethomys_nyikae",0.077,-10.63481023,NA,NA,NA,NA,NA,"Aethomys_nyikae","Aethomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Aethomys_nyikae",0,0,"imputed","PC11_Muridae"
"73","Aethomys_silindensis_MURIDAE_RODENTIA","Aethomys_silindensis",0.1076,-19.50435472,NA,NA,NA,NA,NA,"Aethomys_silindensis","Aethomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Aethomys_silindensis",0,0,"imputed","PC11_Muridae"
"74","Aethomys_stannarius_MURIDAE_RODENTIA","Aethomys_stannarius",0.1076,10.24668619,NA,NA,NA,NA,NA,"Aethomys_stannarius","Aethomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Aethomys_stannarius",0,0,"imputed","PC11_Muridae"
"75","Aethomys_thomasi_MURIDAE_RODENTIA","Aethomys_thomasi",0.1076,-13.67994751,NA,NA,NA,NA,NA,"Aethomys_thomasi","Aethomys","MURIDAE","RODENTIA","Mouse-related","Euarchontoglires","Aethomys_thomasi",0,0,"imputed","PC11_Muridae"
"76","Ailuropoda_melanoleuca_URSIDAE_CARNIVORA","Ailuropoda_melanoleuca",108.4,31.30822418,"Scaffold",39886,1281781,"2009-12-15","2. Existing assembly in 241-way","Ailuropoda_melanoleuca","Ailuropoda","URSIDAE","CARNIVORA","Caniformes","Laurasiatheria","Ailuropoda_melanoleuca",30,0,"sampled","PC22_Carnivora"
"77","Ailurops_melanotis_PHALANGERIDAE_DIPROTODONTIA","Ailurops_melanotis",6.669,3.641828885,NA,NA,NA,NA,NA,"Ailurops_melanotis","Ailurops","PHALANGERIDAE","DIPROTODONTIA","Diprodontia","Marsupialia","Ailurops_melanotis",0,0,"imputed","PC1_Marsupials"
"78","Ailurops_ursinus_PHALANGERIDAE_DIPROTODONTIA","Ailurops_ursinus",10,-2.119319922,NA,NA,NA,NA,NA,"Ailurops_ursinus","Ailurops","PHALANGERIDAE","DIPROTODONTIA","Diprodontia","Marsupialia","Ailurops_ursinus",9,0,"sampled","PC1_Marsupials"
"79","Ailurus_fulgens_AILURIDAE_CARNIVORA","Ailurus_fulgens",4.9,28.60568735,"Scaffold",99577,2983736,"2017-02-28","2. Existing assembly in 241-way","Ailurus_fulgens","Ailurus","AILURIDAE","CARNIVORA","Caniformes","Laurasiatheria","Ailurus_fulgens",25,0,"sampled","PC22_Carnivora"
"80","Akodon_aerosus_CRICETIDAE_RODENTIA","Akodon_aerosus",0.06,-9.436630952,NA,NA,NA,NA,NA,"Akodon_aerosus","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_aerosus",5,0,"sampled","PC12_Cricetidae"
"81","Akodon_affinis_CRICETIDAE_RODENTIA","Akodon_affinis",0.0249,4.787322826,NA,NA,NA,NA,NA,"Akodon_affinis","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_affinis",1,0,"sampled","PC12_Cricetidae"
"82","Akodon_albiventer_CRICETIDAE_RODENTIA","Akodon_albiventer",0.0218,-19.75426641,NA,NA,NA,NA,NA,"Akodon_albiventer","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_albiventer",2,0,"sampled","PC12_Cricetidae"
"83","Akodon_aliquantulus_CRICETIDAE_RODENTIA","Akodon_aliquantulus",0.014,-26.68463256,NA,NA,NA,NA,NA,"Akodon_aliquantulus","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_aliquantulus",0,0,"imputed","PC12_Cricetidae"
"84","Akodon_azarae_CRICETIDAE_RODENTIA","Akodon_azarae",0.025,-33.24486938,NA,NA,NA,NA,NA,"Akodon_azarae","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_azarae",2,0,"sampled","PC12_Cricetidae"
"85","Akodon_bogotensis_CRICETIDAE_RODENTIA","Akodon_bogotensis",0.013,5.990373574,NA,NA,NA,NA,NA,"Akodon_bogotensis","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_bogotensis",0,0,"imputed","PC12_Cricetidae"
"86","Akodon_boliviensis_CRICETIDAE_RODENTIA","Akodon_boliviensis",0.0275,-17.44109426,NA,NA,NA,NA,NA,"Akodon_boliviensis","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_boliviensis",5,0,"sampled","PC12_Cricetidae"
"87","Akodon_budini_CRICETIDAE_RODENTIA","Akodon_budini",0.0269,-23.01231308,NA,NA,NA,NA,NA,"Akodon_budini","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_budini",1,0,"sampled","PC12_Cricetidae"
"88","Akodon_cursor_CRICETIDAE_RODENTIA","Akodon_cursor",0.0399,-18.15376928,NA,NA,NA,NA,NA,"Akodon_cursor","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_cursor",5,0,"sampled","PC12_Cricetidae"
"89","Akodon_dayi_CRICETIDAE_RODENTIA","Akodon_dayi",0.0325,-15.63699531,NA,NA,NA,NA,NA,"Akodon_dayi","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_dayi",2,0,"sampled","PC12_Cricetidae"
"90","Akodon_dolores_CRICETIDAE_RODENTIA","Akodon_dolores",0.0505,-31.61202684,NA,NA,NA,NA,NA,"Akodon_dolores","Akodon","CRICETIDAE","RODENTIA","Mouse-related","Euarchontoglires","Akodon_dolores",3,0,"sampled","PC12_Cricetidae"
